A04	Centre Municipal
SOP	Moore County
SOV	Seldovia
SOW	Show Low Municipal
SPA	Spartanburg Downtown Memorial
SPB	Scappoose Industrial Airpark
SPF	Black Hills-Clyde Ice
SPG	Albert Whitted Municipal
SPH	Springhill
SPI	Capital
SPS	Sheppard AFB/Wichita Falls Municipal
SPW	Spencer Municipal
SPX	Houston-Gulf
SQI	Whiteside Co
SQL	San Carlos
SRB	Upper Cumberland Regional
SRC	Searcy Municipal
SRQ	Sarasota Bradenton International
SRR	Sierra Blanca Regional
SRV	Stony River 2
SSF	Stinson Municipal
SSI	Malcolm McKinnon
SSQ	Shell Lake Municipal
STC	St Cloud Regional
STE	Stevens Point Municipal
STF	George M Bryan
STJ	Rosecrans Memorial
STK	Crosson
STL	Lambert-St Louis International
STP	St Paul Downtown Holman
STS	Sonoma Co
STT	Cyril E. King
STX	Henry E. Rohlsen
SUA	Witham
SUD	Stroud Municipal
SUE	Door County Cherryland
SUN	Friedman Memorial
SUS	Spirit of St Louis
SUT	Brunswick County
SUW	Richard I Bong
SUX	Sioux Gateway
SVA	Savoonga
SVC	Grant County
SVE	Susanville Municipal
SVH	Statesville Municipal
SVS	Stevens Village
SWD	Seward
SWF	Stewart
SWO	Stillwater Regional
SWT	Seward Municipal
SWW	Avenger
SXL	Summersville
SXP	Sheldon Point
SXQ	Soldotna
SYF	Cheyenne County Municipal
SYI	Bomar Field-Shelbyville Municipal
SYR	Syracuse-Hancock Intl
SYV	Sylvester
SZP	Santa Paula
SZT	Sandpoint
SZY	Robert Sibley
T00	Chambers County
T03	Tuba City
T08	Tomahawk Regional
T18	Brooks County
T28	Lampasas Municipal
T35	Cameron Municipal Airpark
T36	Paul Pittman Memorial
T41	La Porte Municipal
T44	Trident Basin
T47	Kickapoo Downtown Airpark
T49	Big Spring McMahon-Wrinkle
T53	Robstown-Nueces County
T56	Crockett-Houston County
T57	Garland Heliport
T60	Stonewall County
T65	Mid Valley
T69	Sinton-San Patricio County
T71	Cuero Municipal
T72	Hearne Municipal
T74	Taylor Municipal
T78	Liberty Municipal
T80	Kleberg County
T82	Gillespie County
T89	Castroville Municipal
T90	Chambers County
T97	Calhoun County
TAD	Perry Stokes
TAL	Ralph M Calhoun Memorial
TAN	Taunton Municipal
TAZ	Taylorville Municipal
TBN	Forney AAF
TBR	Statesboro Municipal
TCC	Tucumcari Municipal
TCL	Tuscaloosa Municipal
TCS	Truth Or Consequences Municipal
TCT	Takotna
TCY	Tracy Municipal
TDF	Person County
TDO	Toledo-Winlock Ed Carlson Memorial
TDZ	Toledo Metcalf
TEB	Teterboro
TEL	Perry County Municipal
TEW	Mason Jewett
TEX	Telluride Regional
TGC	Gibson County
TGI	Tangier Island
THA	Tullahoma Regional
THM	Thompson Falls
THP	Hot Springs County-Thermopolis Municipal
THV	York
TIW	Tacoma Narrows
TIX	Space Cost Regional
TKA	Talkeetna
TKE	Tenakee SPB
TKI	McKinney Municipal
TKX	Kennett Memorial
TLH	Tallahassee Regional
TLR	Mefford
TLT	Tuluksak
TMA	Henry Tift Myers
TMB	Kendall-Tamiami Executive
TNI	West Tinian
TNP	Twentynine Palms
TNT	Dade Collier T And T
TNU	Newton Municipal
TOA	Zamperini
TOB	Dodge Center
TOC	Toccoa, R G Le Tourneau
TOG	Togiak Village
TOI	Troy Municipal
TOL	Toledo Express
TOP	Philip Billard Municipal
TOR	Torrington Muni
TPA	Tampa International
TPF	Peter O. Knight
TPH	Tonopah
TPL	Draughon-Miller Central Texas Regional
TPO	Port Alsworth
TQE	Municipal
TQH	Tahlequah Municipal
TQK	Scott City Municipal
TRI	Tri-Cities Regional
TRK	Truckee-Tahoe
TRL	Terrell Municipal
TRM	Desert Resorts Regional
TRX	Trenton Municipal
TSO	Carroll County-Tolson
TSP	Tehachapi Municipal
TTA	Sanford-Lee County Regional
TTD	Portland-Troutdale
TTF	Monroe Custer
TTN	Trenton-Mercer County
TUL	Tulsa International
TUP	Tupelo Municipal
TUS	Tucson International
TVB	Cabool Memorial
TVC	Cherry Capital
TVF	Thief River Falls Regional
TVI	Thomasville Municipal
TVK	Centerville Municipal
TVL	Lake Tahoe
TVR	Vicksburg Tallulah Regional
TVY	Tooele Valley
TWF	Joslin Field - Magic Valley
TWM	Richard B. Helgeson
TXK	Texarkana Regional-Webb
TYL	Taylor
TYQ	Indianapolis Terry
TYR	Tyler Pounds
TYS	McGhee-Tyson
TZR	Bolton
TZT	Belle Plaine Municipal
TZV	Tompkinsville-Monroe County
U02	McCarley
U03	Buhl Municipal
U05	Riddick
U08	Perkins
U10	Preston
U14	Nephi Municipal
U25	Dubois Municipal
U30	Temple Bar
U34	Green River Muni
U36	Aberdeen Municipal
U42	Salt Lake City Municipal 2
U43	Monticello
U52	Beaver Municipal
U55	Panguitch Municipal
U59	Driggs-Reed Memorial
U68	North Big Horn County
U69	Duchesne Municipal
U70	Cascade
U76	Mountain Home Municipal
U77	Spanish Fork-Springville
U82	Council Municipal
U96	Cal Black Memorial
UAO	Aurora State
UBE	Cumberland Municipal
UBS	Columbus-Lowndes County
UBX	Cuba Municipal
UCA	Oneida Cty
UCP	New Castle Muni
UCY	Everett-Stewart
UDD	Bermuda Dunes
UDG	Darlington County
UES	Waukesha County
UGN	Waukegan Regional
UIL	Quillayute
UIN	Quincy Municipal-Baldwin
UIZ	Berz-Macomb
UKF	Wilkes County
UKI	Ukiah Municipal
UKL	Coffey County
UKT	Quakertown
ULM	New Ulm Municipal
ULS	Ulysses
UMP	Indianapolis Metropolitan
UNI	Ohio University
UNK	Unalakleet
UNO	West Plains Municipal
UNU	Dodge County
UNV	University Park
UOS	Franklin County
UOX	University-Oxford
UPP	Upolu
USE	Fulton County
UTS	Huntsville Municipal
UUO	Willow
UUU	Newport State
UUV	Sullivan Regional
UVA	Garner
UWL	New Castle-Henry Co
UYF	Madison County
UZA	Rock Hill Municipal/Bryant
VAK	Chevak
VAY	South Jersey Reg
VBT	Bentonville Municipal
VCB	Nut Tree
VCT	Victoria Regional
VCV	Southern California Logistic
VDI	Vidalia Municipal
VDZ	Valdez
VEE	Venetie
VEL	Vernal
VER	Jesse Viertel Memorial
VES	Darke County
VGT	North Las Vegas
VHN	Culberson County
VIH	Rolla National
VIQ	Neillsville Municipal
VIS	Visalia Municipal
VJI	Virginia Highlands
VLA	Vandalia Municipal
VLD	Valdosta Regional
VMR	Harold Davidson
VNC	Venice Municipal
VNW	Van Wert County
VNY	Van Nuys
VPC	Cartersville
VPS	Eglin Air Force Base
VPZ	Porter County Municipal
VQQ	Cecil
VQS	Antonio Rivera Rodriguez
VRB	Vero Beach Municipal
VSF	Springfield State/Hartness
VTA	Newark-Heath
VTI	Vinton Veterans Memorial Airpark
VTN	Miller
VUJ	Stanly County
VUO	Pearson Airpark
VVV	Ortonville Municipal
VYS	Illinois Valley Regional
W04	Ocean Shores Municipal
W05	Gettysburg  & Travel Center
W11	Menomonie Municipal - Score
W22	Upshur County Regional
W29	Bay Bridge Industrial
W31	Lunenburg County
W33	Friday Harbor
W40	Mt Olive Municipal
W41	Crisfield Municipal
W44	Asheboro Municipal
W45	Luray Caverns
W66	Warrenton-Fauquier
W78	William M Tuck
W95	Ocracoke Island
W96	New Kent County
W97	Middle Peninsula Regional
W99	Grant County
WAY	Greene Cty
WBB	Stebbins
WBQ	Beaver
WBW	Wilkes-Barre Wyoming Valley
WCR	Chandalar Lake
WDG	Enid Woodring Municipal
WDR	Winder
WHP	Whiteman
WJF	General Wm. J. Fox Airfield
WLD	Strother
WLK	Selawik
WLW	Willows-Glenn County
WMC	Winnemucca Municipal
WMO	White Mountain
WNA	Napakiak
WRG	Wrangell
WRL	Worland Muni
WSM	Wiseman
WSN	South Naknek 2
WST	Westerly State
WTK	Noatak
WVI	Watsonville Municipal
WVL	Waterville-Robert Lafleur
WWD	Cape May Cty
WWR	West Woodward
WYS	Yellowstone
X01	Everglades
X06	Arcadia Municipal
X07	Lake Wales Municipal
X10	Belle Glade Municipal
X14	Labelle Municipal
X16	Vandenberg
X21	Arthur Dunn Airpark
X23	Umatilla Municipal
X26	Sebastian Municipal
X35	Dunnellon/Marion Co.
X40	Inverness
X44	Watson Island Base
X46	Opa-Locka West
X47	Flagler County
X51	Homestead General Aviation
X59	Valkaria
X60	Williston Municipal
X63	Humacao
X66	Charlotte Amalie Harbor Seaplane Base
X67	Christiansted Harbor Seaplane Base
X95	Diego Jimenez Torres
X96	Cruz Bay Harbor Seaplane Base
XNA	Northwest Arkansas Regional
XVG	Longville Municipal
Y03	Springfield Municipal
Y14	Marv Skie-Lincoln County
Y15	Cheboygan City-County
Y19	Mandan Municipal
Y27	Standing Rock
Y31	West Branch Community
Y37	Park River Municipal
Y47	New Hudson
Y50	Wautoma Municipal
Y51	Viroqua Municipal
Y55	Crandon Municipal
Y63	Elbow Lake Municipal
Y66	Drummond Island
Y68	Tracy Municipal
Y70	Ionia County
Y74	Hankins
Y83	Sandusky City
Y93	Atlanta Municipal
YAK	Yakutat
YIP	Willow Run
YKM	Yakima Air Terminal
YKN	Chan Gurney Municipal
YNG	Youngstown-Warren Regional
YUM	Yuma MCAS-Yuma International
Z08	Ofu
Z09	Kasigluk
Z13	Akiachak
Z17	Ophir
Z40	Goose Bay
Z55	Lake Louise
Z73	Nelson Lagoon
Z84	Clear
Z91	Birch Creek
Z95	Cibecue
ZEF	Elkin Municipal
ZER	Schuylkill Cty/Joe Zerbey
ZPH	Zephyrhills Municipal
ZUN	Black Rock
ZZV	Zanesville Municipal
